DOCULECT	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	GLOSSID	FORM	COGID	TOKENS	NOTE
Jinuo	youl1235	683	PERSON	64	chə⁴²_zɔ⁴⁴	85	tsʰ ə ⁴² _ z ɔ ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	683	PERSON	64	so_ŋo	116	s o _ ŋ o	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	683	PERSON	64	pwạː³³	376	p w a̰ː ³³	
Lhota	loth1237	683	PERSON	64	kyõ	417	k y õ ∼	Naga Lotha
Tujia	nort2732	683	PERSON	64	lo²	531	l o ²	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	683	PERSON	64	pjaŋ¹¹	376	p j a ŋ ¹¹	Yintale Karen
Hill-Miri	nyis1236	683	PERSON	64	ńi-gede	25	nʲ i + g e d e	
Pa'O	paok1235	683	PERSON	64	lou²²²²	531	l o u ²²/²²	
W. Kayah	west2409	683	PERSON	64	prɛ̣¹¹	376	p r ɛ̰ ¹¹	Kayah Western
Written Tibetan	tibe1272	683	PERSON	64	mi	25	m i	
Ninglang-Naxi	naxi1245	683	PERSON	64	χi̲³³	467	χ ḭ ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	683	PERSON	64	ni→suŋ	25	n i + s u ŋ	Naga Ao
Garo	garo1247	683	PERSON	64	mande	25	m a n d e	
Sherpa	sher1255	683	PERSON	64	mi_LR	25	m i	Solu-Khumbu Sherpa
Manu	manu1255	683	PERSON	64	pɔ̣³³_jɔ̣¹¹	376	p ɔ̰ ³³ _ j ɔ̰ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	683	PERSON	64	prạ⁵⁵	376	p r a̰ ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	683	PERSON	64	ami	25	a m i	Naga Ao
Yimchunrü	yimc1240	683	PERSON	64	mɨ→rɨ	25	m ɨ + r ɨ	Naga Yimchungru
Burmese	nucl1310	683	PERSON	64	lu	531	l u	
Lhasa Tibetan	tibe1272	683	PERSON	64	mi¹³	25	m i ¹³	
Yimchunrü	yimc1240	683	PERSON	64	mɨ→rɨ	592	m ɨ + r ɨ	Naga Yimchungru
Nishi	nisi1238	658	RAIN (PRECIPITATION)	65	ńodo	634	nʲ o d o	Nisi?
Geker	geko1235	658	RAIN (PRECIPITATION)	65	shwʌiʔ⁵³_lɔ²²	287	sʰ w ʌ i ʔ ⁵³ _ l ɔ ²²	Geko Karen?
Geba	geba1237	658	RAIN (PRECIPITATION)	65	kwe²²_s̯u³³	287	k w e ²² _ sʲ u ³³	
Lijiang-Naxi	lich1241	658	RAIN (PRECIPITATION)	65	χɨ³¹	287	χ ɨ ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	658	RAIN (PRECIPITATION)	65	m⁴²_tha⁵⁵	40	m ⁴² _ tʰ a ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	658	RAIN (PRECIPITATION)	65	ŋam_su	287	ŋ a m _ s u	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	658	RAIN (PRECIPITATION)	65	t̯a⁵¹_s̯u³³	287	ʈ a ⁵¹ _ sʲ u ³³	
Lhota	loth1237	658	RAIN (PRECIPITATION)	65	eru	287	e r u	Naga Lotha
Tujia	nort2732	658	RAIN (PRECIPITATION)	65	mɨe³_cie⁴	138	m ɨ e ³ _ ts i e ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	658	RAIN (PRECIPITATION)	65	kan³³_dʒuw¹¹	138	k a n ³³ _ dʒ u w ¹¹	Yintale Karen
Hill-Miri	nyis1236	658	RAIN (PRECIPITATION)	65	ńi-do	634	nʲ i + d o	
Pa'O	paok1235	658	RAIN (PRECIPITATION)	65	kham⁴⁴⁵⁵_lɔʔ	519	kʰ a m ⁴⁴/⁵⁵ _ l ɔ ʔ	
W. Kayah	west2409	658	RAIN (PRECIPITATION)	65	kẹ⁴⁴_cɨ̣¹¹	138	k ḛ ⁴⁴ _ ts ɨ̰ ¹¹	Kayah Western
Written Tibetan	tibe1272	658	RAIN (PRECIPITATION)	65	ćhar_pa	144	tsʲʰ a r _ p a	
Ao-Chungli	chon1286	658	RAIN (PRECIPITATION)	65	cuŋ→lu	138	ts u ŋ + l u	Naga Ao
Garo	garo1247	658	RAIN (PRECIPITATION)	65	mikka	444	m i k k a	
Sherpa	sher1255	658	RAIN (PRECIPITATION)	65	cer→wɛ_LF	144	ts e r + w ɛ	Solu-Khumbu Sherpa
Manu	manu1255	658	RAIN (PRECIPITATION)	65	kạ⁴⁴_cɨə¹¹	138	k a̰ ⁴⁴ _ ts ɨ ə ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	658	RAIN (PRECIPITATION)	65	ʃhwaʔ⁴⁴	287	ʃʰ w a ʔ ⁴⁴	Yinbaw Karen
Ao-Mongsen	mong1332	658	RAIN (PRECIPITATION)	65	ciŋi	138	ts i ŋ i	Naga Ao
Yimchunrü	yimc1240	658	RAIN (PRECIPITATION)	65	cɨŋ	138	ts ɨ ŋ	Naga Yimchungru
Burmese	nucl1310	658	RAIN (PRECIPITATION)	65	muiː	40	m u iː	
Lhasa Tibetan	tibe1272	658	RAIN (PRECIPITATION)	65	ćhaː⁵⁵_pa⁵⁵	144	tsʲʰ aː ⁵⁵ _ p a ⁵⁵	
Geker	geko1235	658	RAIN (PRECIPITATION)	65	shwʌiʔ⁵³_lɔ²²	519	sʰ w ʌ i ʔ ⁵³ _ l ɔ ²²	Geko Karen?
Nishi	nisi1238	156	RED	66	lɨchi	199	l ɨ tsʰ i	Nisi?
Geker	geko1235	156	RED	66	lei³³	190	l e i ³³	Geko Karen?
Geba	geba1237	156	RED	66	ʔəli³³	190	ʔ ə l i ³³	
Lijiang-Naxi	lich1241	156	RED	66	ćy³¹	41	tsʲ y ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	156	RED	66	a³³_nhə⁴⁴_lə	576	a ³³ _ nʰ ə ⁴⁴ _ l ə	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	156	RED	66	ca_lo	190	ts a _ l o	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	156	RED	66	ʔəɣɔ³³	593	ʔ ə ɣ ɔ ³³	
Lhota	loth1237	156	RED	66	rakata_IND	3	r a k a t a _	Naga Lotha
Tujia	nort2732	156	RED	66	mian¹_ćie¹	642	m i a n ¹ _ tsʲ i e ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	156	RED	66	ʔa¹¹_leŋ³³	190	ʔ a ¹¹ _ l e ŋ ³³	Yintale Karen
Hill-Miri	nyis1236	156	RED	66	lɨchin	199	l ɨ tsʰ i n	
Pa'O	paok1235	156	RED	66	ʔa¹¹_tə¹¹_nia	576	ʔ a ¹¹ _ t ə ¹¹ _ n i a	
W. Kayah	west2409	156	RED	66	lị¹¹	190	l ḭ ¹¹	Kayah Western
Written Tibetan	tibe1272	156	RED	66	dmar_po	642	d m a r _ p o	
Ninglang-Naxi	naxi1245	156	RED	66	χũ³³	422	χ ũ ∼ ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	156	RED	66	temerem	597	t e m e r e m	Naga Ao
Garo	garo1247	156	RED	66	gicak	41	g i ts a k	
Sherpa	sher1255	156	RED	66	mar→wu_LF	642	m a r + w u	Solu-Khumbu Sherpa
Manu	manu1255	156	RED	66	lịɛ¹¹	190	l ḭ ɛ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	156	RED	66	lẹ¹¹	190	l ḛ ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	156	RED	66	tɨmiram	597	t ɨ m i r a m	Naga Ao
Yimchunrü	yimc1240	156	RED	66	kaišan	62	k a i ʃ a n	Naga Yimchungru
Burmese	nucl1310	156	RED	66	ni	576	n i	
Lhasa Tibetan	tibe1272	156	RED	66	maː⁵⁵_po⁵⁵	642	m aː ⁵⁵ _ p o ⁵⁵	
Nishi	nisi1238	156	RED	66	lɨchi	62	l ɨ tsʰ i	Nisi?
Hill-Miri	nyis1236	156	RED	66	lɨchin	62	l ɨ tsʰ i n	
Kusunda	kusu1250	156	RED	88	kwrgon	0	k w r g o n	
Nishi	nisi1238	667	ROAD	67	lam-ta	159	l a m + t a	Nisi?
Geker	geko1235	667	ROAD	67	khlʌiʔ⁵³	154	kʰ l ʌ i ʔ ⁵³	Geko Karen?
Geba	geba1237	667	ROAD	67	klɛ̃ʔ⁵³_doʔ⁵³	154	k l ɛ̃ ∼ ʔ ⁵³ _ d o ʔ ⁵³	
Lijiang-Naxi	lich1241	667	ROAD	67	ẓɨ³³_ŋɣv³³	229	ʐ ɨ ³³ _ ŋ ɣ v ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	667	ROAD	67	jɔ⁴⁴_kho⁴⁴	229	j ɔ ⁴⁴ _ kʰ o ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	667	ROAD	67	lam	159	l a m	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	667	ROAD	67	klɛ⁴⁴_mɨ⁵¹	154	k l ɛ ⁴⁴ _ m ɨ ⁵¹	
Lhota	loth1237	667	ROAD	67	oːlaː̃	159	oː l aː̃	Naga Lotha
Tujia	nort2732	667	ROAD	67	la²	159	l a ²	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	667	ROAD	67	klai³¹	154	k l a i ³¹	Yintale Karen
Hill-Miri	nyis1236	667	ROAD	67	əli	154	ə l i	
Pa'O	paok1235	667	ROAD	67	klaj¹¹¹¹	154	k l a j ¹¹	
W. Kayah	west2409	667	ROAD	67	klia⁵⁵	154	k l i a ⁵⁵	Kayah Western
Written Tibetan	tibe1272	667	ROAD	67	lam	159	l a m	
Ninglang-Naxi	naxi1245	667	ROAD	67	ẓə³¹_mi¹³	229	ʐ ə ³¹ _ m i ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	667	ROAD	67	len	159	l e n	Naga Ao
Garo	garo1247	667	ROAD	67	rama	159	r a m a	
Sherpa	sher1255	667	ROAD	67	lɛm_LF	159	l ɛ m	Solu-Khumbu Sherpa
Manu	manu1255	667	ROAD	67	klɛ³³	154	k l ɛ ³³	Manumanaw Karen
Yeinbaw	yinb1236	667	ROAD	67	khlai⁵⁵	154	kʰ l a i ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	667	ROAD	67	alimaŋ,_yimaŋ	159	a l i m a ŋ	Naga Ao
Yimchunrü	yimc1240	667	ROAD	67	limro	159	l i m r o	Naga Yimchungru
Burmese	nucl1310	667	ROAD	67	lamː	159	l a mː	
Lhasa Tibetan	tibe1272	667	ROAD	67	lam¹³	159	l a m ¹³	
Nishi	nisi1238	667	ROAD	67	lam-ta	37	l a m + t a	Nisi?
Nishi	nisi1238	670	ROOT	68	meːmi	87	m eː m i	Nisi?
Geker	geko1235	670	ROOT	68	ṭəɨ³¹_ʃwiʔ⁵³	583	ʈ ə ɨ ³¹ _ ʃ w i ʔ ⁵³	Geko Karen?
Geba	geba1237	670	ROOT	68	wi²²	583	w i ²²	
Lijiang-Naxi	lich1241	670	ROOT	68	khɨ³³	235	kʰ ɨ ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	670	ROOT	68	a³³_ćhe⁴⁴	235	a ³³ _ tsʲʰ e ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	670	ROOT	68	ca	103	ts a	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	670	ROOT	68	ɣi²²	583	ɣ i ²²	
Lhota	loth1237	670	ROOT	68	oːyaŋ	342	oː y a ŋ	Naga Lotha
Tujia	nort2732	670	ROOT	68	ći¹_la⁴	235	tsʲ i ¹ _ l a ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	670	ROOT	68	wei¹¹	583	w e i ¹¹	Yintale Karen
Hill-Miri	nyis1236	670	ROOT	68	rɨga	583	r ɨ g a	
Pa'O	paok1235	670	ROOT	68	ʔa¹¹_rwi⁵⁵²²	583	ʔ a ¹¹ _ r w i ⁵⁵/²²	
W. Kayah	west2409	670	ROOT	68	rũi⁴⁴	583	r ũ ∼ i ⁴⁴	Kayah Western
Written Tibetan	tibe1272	670	ROOT	68	rca_ba	103	r ts a _ b a	
Ninglang-Naxi	naxi1245	670	ROOT	68	khɨ³³_tər¹³	235	kʰ ɨ ³³ _ t ə r ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	670	ROOT	68	tera	583	t e r a	Naga Ao
Garo	garo1247	670	ROOT	68	ja-dil	636	j a + d i l	
Sherpa	sher1255	670	ROOT	68	mɛrHR	132	m ɛ r	Solu-Khumbu Sherpa
Manu	manu1255	670	ROOT	68	kɔ³³_ßi³³⁴⁴	583	k ɔ ³³ _ s i ³³/⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	670	ROOT	68	sɨ¹¹_rwẹ⁵⁵	583	s ɨ ¹¹ _ r w ḛ ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	670	ROOT	68	tezuŋ	342	t e z u ŋ	Naga Ao
Yimchunrü	yimc1240	670	ROOT	68	ayiŋ	342	a y i ŋ	Naga Yimchungru
Burmese	nucl1310	670	ROOT	68	amrac	87	a m r a ts	
Lhasa Tibetan	tibe1272	670	ROOT	68	caː⁵⁵	103	ts aː ⁵⁵	
Kusunda	kusu1250	670	ROOT	134	godoq	0	g o d o q	
Geker	geko1235	1395	ROUND	69	d̄ələo⁵⁵	166	d̄ ə l ə o ⁵⁵	Geko Karen?
Geba	geba1237	1395	ROUND	69	kəlo³³_lu⁴⁴_d	166	k ə l o ³³ _ l u ⁴⁴ _ d	
Lijiang-Naxi	lich1241	1395	ROUND	69	uə⁵⁵_uə³³	276	u ə ⁵⁵ _ u ə ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1395	ROUND	69	lə³³	166	l ə ³³	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1395	ROUND	69	khir→khir	275	kʰ i r + kʰ i r	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1395	ROUND	69	kəwɔ³³_k̯lɔ³³	166	k ə w ɔ ³³ _ kʲ l ɔ ³³	
Lhota	loth1237	1395	ROUND	69	eka	423	e k a	Naga Lotha
Tujia	nort2732	1395	ROUND	69	thuan⁴_khu¹_l	532	tʰ u a n ⁴ _ kʰ u ¹ _ l	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1395	ROUND	69	tə¹¹_lu⁵⁵	166	t ə ¹¹ _ l u ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1395	ROUND	69	əp	343	ə p	
Pa'O	paok1235	1395	ROUND	69	tə⁴⁴_vɨn²²¹¹	276	t ə ⁴⁴ _ v ɨ n ²²/¹¹	
W. Kayah	west2409	1395	ROUND	69	təvɨ̣¹¹	276	t ə v ɨ̰ ¹¹	Kayah Western
Written Tibetan	tibe1272	1395	ROUND	69	sgor_sgor	275	s g o r _ s g o r	
Ninglang-Naxi	naxi1245	1395	ROUND	69	ko³¹_tv³¹_tv	196	k o ³¹ _ t v ³¹ _ t v	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1395	ROUND	69	luŋ→luŋger	166	l u ŋ + l u ŋ g e r	Naga Ao
Garo	garo1247	1395	ROUND	69	borem	613	b o r e m	
Sherpa	sher1255	1395	ROUND	69	rhil→doŋbɛHF	611	rʰ i l + d o ŋ b ɛ	Solu-Khumbu Sherpa
Manu	manu1255	1395	ROUND	69	təßẹ¹¹	276	t ə s ḛ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1395	ROUND	69	rṿ⁴⁴_wẹ⁴⁴	276	r v̩ ⁴⁴ _ w ḛ ⁴⁴	Yinbaw Karen
Ao-Mongsen	mong1332	1395	ROUND	69	teluŋ	166	t e l u ŋ	Naga Ao
Yimchunrü	yimc1240	1395	ROUND	69	mukamto	423	m u k a m t o	Naga Yimchungru
Burmese	nucl1310	1395	ROUND	69	wuiŋː	276	w u i ŋː	
Lhasa Tibetan	tibe1272	1395	ROUND	69	koː³³_koː⁵⁵	275	k oː ³³ _ k oː ⁵⁵	
Lhota	loth1237	1395	ROUND	69	mpam	344	m p a m	Naga Lotha
Garo	garo1247	1395	ROUND	69	dawila	178	d a w i l a	
Ao-Chungli	chon1286	1274	SALT	104	me→tzɨ	490	m e + t z ɨ	Naga Ao
Ao-Mongsen	mong1332	1274	SALT	104	me→cɨ	490	m e + ts ɨ	Naga Ao
Yimchunrü	yimc1240	1274	SALT	104	thi→mi	490	tʰ i + m i	Naga Yimchungru
Nishi	nisi1238	1274	SALT	104	al	181	a l	Nisi?
Geker	geko1235	1274	SALT	104	si⁴⁴_ṭa²²	84	s i ⁴⁴ _ ʈ a ²²	Geko Karen?
Geba	geba1237	1274	SALT	104	d̄i²²_ṭɛ̃ʔ⁵³	84	d̄ i ²² _ ʈ ɛ̃ ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	1274	SALT	104	che³³	84	tsʰ e ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1274	SALT	104	chə⁵⁵_khə⁴²	84	tsʰ ə ⁵⁵ _ kʰ ə ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1274	SALT	104	ʔin_ća	84	ʔ i n _ tsʲ a	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1274	SALT	104	ʔi³³_ṭaʔ⁵³	84	ʔ i ³³ _ ʈ a ʔ ⁵³	
Lhota	loth1237	1274	SALT	104	oːma	490	oː m a	Naga Lotha
Tujia	nort2732	1274	SALT	104	la³_pu¹	537	l a ³ _ p u ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1274	SALT	104	ʔi⁵⁵_ṣa³³	84	ʔ i ⁵⁵ _ ʂ a ³³	Yintale Karen
Hill-Miri	nyis1236	1274	SALT	104	al	181	a l	
Pa'O	paok1235	1274	SALT	104	tə¹¹_sa⁵⁵⁵⁵	84	t ə ¹¹ _ s a ⁵⁵/⁵⁵	
W. Kayah	west2409	1274	SALT	104	e¹¹_ćɛ¹¹	84	e ¹¹ _ tsʲ ɛ ¹¹	Kayah Western
Written Tibetan	tibe1272	1274	SALT	104	chwa	84	tsʰ w a	
Ninglang-Naxi	naxi1245	1274	SALT	104	che⁵⁵	84	tsʰ e ⁵⁵	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1274	SALT	104	me→tzɨ	84	m e + t z ɨ	Naga Ao
Garo	garo1247	1274	SALT	104	kari	585	k a r i	
Sherpa	sher1255	1274	SALT	104	chaHF	84	tsʰ a	Solu-Khumbu Sherpa
Manu	manu1255	1274	SALT	104	je³³_sa³³	84	j e ³³ _ s a ³³	Manumanaw Karen
Yeinbaw	yinb1236	1274	SALT	104	cv¹¹_θa⁵⁵	84	ts v ¹¹ _ θ a ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1274	SALT	104	me→cɨ	84	m e + ts ɨ	Naga Ao
Yimchunrü	yimc1240	1274	SALT	104	thi→mi	84	tʰ i + m i	Naga Yimchungru
Burmese	nucl1310	1274	SALT	104	chaː	84	tsʰ aː	
Lhasa Tibetan	tibe1272	1274	SALT	104	cha⁵⁵	84	tsʰ a ⁵⁵	
Kusunda	kusu1250	1274	SALT	26	o̤ki	0	o̤ k i	
Geker	geko1235	671	SAND	70	ləoʔ⁵³_mʌiʔ⁵³	626	l ə o ʔ ⁵³ _ m ʌ i ʔ ⁵³	Geko Karen?
Geba	geba1237	671	SAND	70	loʔ⁵³_̣u⁴⁴_mi	626	l o ʔ ⁵³ _ u ⁴⁴ _ m i	
Lijiang-Naxi	lich1241	671	SAND	70	sə³¹	129	s ə ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	671	SAND	70	mə⁴²_ʃi⁴⁴	129	m ə ⁴² _ ʃ i ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	671	SAND	70	be_ca	345	b e _ ts a	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	671	SAND	70	mɛʔ⁵³	626	m ɛ ʔ ⁵³	
Lhota	loth1237	671	SAND	70	poːpa	264	p oː p a	Naga Lotha
Tujia	nort2732	671	SAND	70	sa¹_ci¹____C	4	s a ¹ _ ts i ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	671	SAND	70	haŋ³³_shai³³	5	h a ŋ ³³ _ sʰ a i ³³	Yintale Karen
Hill-Miri	nyis1236	671	SAND	70	beli__IND	20	b e l i _	
Pa'O	paok1235	671	SAND	70	saj²²¹¹	6	s a j ²²/¹¹	
W. Kayah	west2409	671	SAND	70	təma⁵⁵_mɨ¹¹	626	t ə m a ⁵⁵ _ m ɨ ¹¹	Kayah Western
Written Tibetan	tibe1272	671	SAND	70	bje_ma	345	b j e _ m a	
Ninglang-Naxi	naxi1245	671	SAND	70	c̣e³¹_mv¹³	129	tʂ e ³¹ _ m v ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	671	SAND	70	lisem	90	l i s e m	Naga Ao
Garo	garo1247	671	SAND	70	an-ceŋ	318	a n + ts e ŋ	
Sherpa	sher1255	671	SAND	70	pemɛ_LF	345	p e m ɛ	Solu-Khumbu Sherpa
Manu	manu1255	671	SAND	70	lø̣⁴⁴⁵⁵_sɛ¹	626	l ø̰ ⁴⁴/⁵⁵ _ s ɛ ¹	Manumanaw Karen
Yeinbaw	yinb1236	671	SAND	70	lṿo¹¹_mai¹¹	626	l v̩ o ¹¹ _ m a i ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	671	SAND	70	lisam	90	l i s a m	Naga Ao
Yimchunrü	yimc1240	671	SAND	70	lozɨ	319	l o z ɨ	Naga Yimchungru
Burmese	nucl1310	671	SAND	70	sajː	129	s a jː	
Lhasa Tibetan	tibe1272	671	SAND	70	ćhe¹³_ma⁵⁵	345	tsʲʰ e ¹³ _ m a ⁵⁵	
Geker	geko1235	1458	SAY	71	b̄ə→sjwi⁵⁵	298	b̄ ə + s j w i ⁵⁵	Geko Karen?
Nishi	nisi1238	1458	SAY	71	biŋ	373	b i ŋ	Nisi?
Geker	geko1235	1458	SAY	71	b̄əsjwi⁵⁵	221	b̄ ə s j w i ⁵⁵	Geko Karen?
Geba	geba1237	1458	SAY	71	s̯i³³_jĩʔ⁵³	221	sʲ i ³³ _ j ĩ ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	1458	SAY	71	sə⁵⁵	69	s ə ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1458	SAY	71	pja⁴²	424	p j a ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1458	SAY	71	jek	346	j e k	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1458	SAY	71	kəto³³	502	k ə t o ³³	
Lhota	loth1237	1458	SAY	71	phyo,_ezo	346	pʰ y o	Naga Lotha
Tujia	nort2732	1458	SAY	71	li⁴	145	l i ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1458	SAY	71	pa¹¹_pwei¹¹	221	p a ¹¹ _ p w e i ¹¹	Yintale Karen
Hill-Miri	nyis1236	1458	SAY	71	men	327	m e n	
Pa'O	paok1235	1458	SAY	71	dɔʔ¹¹²²_ri⁴⁴	502	d ɔ ʔ ¹¹/²² _ r i ⁴⁴	
W. Kayah	west2409	1458	SAY	71	he⁵⁵_bɛ¹¹	221	h e ⁵⁵ _ b ɛ ¹¹	Kayah Western
Written Tibetan	tibe1272	1458	SAY	71	ãćhad	195	ã ∼ tsʲʰ a d	
Ninglang-Naxi	naxi1245	1458	SAY	71	ẓuə¹³	425	ʐ u ə ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1458	SAY	71	aši	69	a ʃ i	Naga Ao
Garo	garo1247	1458	SAY	71	agana	443	a g a n a	
Sherpa	sher1255	1458	SAY	71	si_LF-	69	s i +	Solu-Khumbu Sherpa
Manu	manu1255	1458	SAY	71	he³³_ba⁴⁴	221	h e ³³ _ b a ⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	1458	SAY	71	mv³³_ŋụ̃³³	261	m v ³³ _ ŋ ṵ̃ ∼ ³³	Yinbaw Karen
Ao-Mongsen	mong1332	1458	SAY	71	sa	69	s a	Naga Ao
Yimchunrü	yimc1240	1458	SAY	71	tha	69	tʰ a	Naga Yimchungru
Burmese	nucl1310	1458	SAY	71	prau	221	p r a u	
Lhasa Tibetan	tibe1272	1458	SAY	71	ćɛ⁵²	195	tsʲ ɛ ⁵²	
Nishi	nisi1238	1409	SEE	72	kaː	238	k aː	Nisi?
Geker	geko1235	1409	SEE	72	ʔəo⁵⁵_shɣɨ²²	619	ʔ ə o ⁵⁵ _ sʰ ɣ ɨ ²²	Geko Karen?
Geba	geba1237	1409	SEE	72	ʔəs̯a³³_tʃi³	619	ʔ ə sʲ a ³³ _ tʃ i ³	
Lijiang-Naxi	lich1241	1409	SEE	72	ndo³¹	33	n d o ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1409	SEE	72	mjə⁴⁴	75	m j ə ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1409	SEE	72	thoŋ	33	tʰ o ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1409	SEE	72	thiʔ⁵³	619	tʰ i ʔ ⁵³	
Lhota	loth1237	1409	SEE	72	mhɨŋ	297	mʰ ɨ ŋ	Naga Lotha
Tujia	nort2732	1409	SEE	72	ji⁴	98	j i ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1409	SEE	72	mɔ⁵⁵_thɛ³³	619	m ɔ ⁵⁵ _ tʰ ɛ ³³	Yintale Karen
Hill-Miri	nyis1236	1409	SEE	72	ka	238	k a	
Pa'O	paok1235	1409	SEE	72	thi³³⁴⁴	619	tʰ i ³³/⁴⁴	
W. Kayah	west2409	1409	SEE	72	mia⁵⁵_thie¹¹	619	m i a ⁵⁵ _ tʰ i e ¹¹	Kayah Western
Written Tibetan	tibe1272	1409	SEE	72	mthoŋ	33	m tʰ o ŋ	
Ninglang-Naxi	naxi1245	1409	SEE	72	do³¹	33	d o ³¹	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1409	SEE	72	aŋu	297	a ŋ u	Naga Ao
Garo	garo1247	1409	SEE	72	nia	442	n i a	
Sherpa	sher1255	1409	SEE	72	lhe_LR-	182	lʰ e +	Solu-Khumbu Sherpa
Manu	manu1255	1409	SEE	72	kə¹¹_ʃhi⁴⁴	619	k ə ¹¹ _ ʃʰ i ⁴⁴	Manumanaw Karen
